"ID" "nazov.skoly" "adresa" "obec" "okres" "zriadovateľ" "skupina.odborov.cislo" "skupina.odborov" "odbor" "odbor.nazov" "Forma" "Druh" "stupen.vzdelania" "Dĺžka" "Jazyk" "1." "2." "3." "4." "5." "6." "7." "8." "žiaci.spolu" "novoprijatí.1..ročník.2017" "absolventi.2017" "odborný.výcvik.a.prax" "predpokladani.absolventi.máj.2018" "lat" "lng"
"1" "1" "Gymnázium Andreja Sládkoviča" "Komenského 18" "Banská Bystrica" "BB" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 100 139 129 125 0 0 0 0 493 100 96 0 125 19.1475099 48.7436481
"2" "1" "Gymnázium Andreja Sládkoviča" "Komenského 18" "Banská Bystrica" "BB" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 0 0 0 0 0 0 0 0 0 0 4 0 0 19.1475099 48.7436481
"3" "2" "Športové gymnázium" "Trieda SNP 54" "Banská Bystrica" "BB" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 0 0 19 0 0 0 0 0 19 0 0 0 0 19.1654578 48.7380135
"4" "2" "Športové gymnázium" "Trieda SNP 54" "Banská Bystrica" "BB" "BBSK" 79 "Gymnáziá" "7902J77" "gymnázium" "D" "3G" "J" 4 "S " 58 51 47 33 0 0 0 0 189 58 44 0 33 19.1654578 48.7380135
"5" "2" "Športové gymnázium" "Trieda SNP 54" "Banská Bystrica" "BB" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "S " 24 20 0 28 18 27 0 0 117 24 0 0 0 19.1654578 48.7380135
"6" "2" "Športové gymnázium" "Trieda SNP 54" "Banská Bystrica" "BB" "BBSK" 79 "Gymnáziá" "7902J77" "gymnázium" "D" "3G" "J" 8 "S " 23 31 32 0 0 0 0 0 86 23 0 0 0 19.1654578 48.7380135
"7" "3" "Gymnázium Jána Chalupku" "Štúrova 13" "Brezno" "BR" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 40 43 29 46 0 0 0 0 158 40 43 0 46 19.645594 48.8046513
"8" "3" "Gymnázium Jána Chalupku" "Štúrova 13" "Brezno" "BR" "BBSK" 79 "Gymnáziá" "7902500" "gymnázium" "D" "3G" "5" 8 "S " 0 0 0 0 0 0 25 12 37 0 0 0 12 19.645594 48.8046513
"9" "3" "Gymnázium Jána Chalupku" "Štúrova 13" "Brezno" "BR" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "S " 28 24 29 19 14 0 0 0 114 28 0 0 0 19.645594 48.8046513
"10" "4" "Gymnázium Andreja Kmeťa" "A. Gwerkovej - Göllnerovej 6" "Banská Štiavnica" "BS" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 21 17 17 24 0 0 0 0 79 21 24 0 24 18.9148635 48.4481458
"11" "4" "Gymnázium Andreja Kmeťa" "A. Gwerkovej - Göllnerovej 6" "Banská Štiavnica" "BS" "BBSK" 79 "Gymnáziá" "7902J74" "gymnázium" "D" "3G" "J" 5 "SA" 60 53 59 55 51 0 0 0 278 60 51 0 51 18.9148635 48.4481458
"12" "5" "Gymnázium" "Štúrova 849" "Detva" "DT" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 18 20 23 33 0 0 0 0 94 18 31 0 33 19.4036261 48.5425312
"13" "6" "Gymnázium Andreja Sládkoviča" "M. R. Štefánika 8" "Krupina" "KA" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 13 24 22 25 0 0 0 0 84 13 24 0 25 19.0668778 48.3497684
"14" "7" "Gymnázium - Gimnázium" "Nám. padlých hrdinov 2" "Fiľakovo" "LC" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 18 17 13 21 0 0 0 0 69 18 23 0 21 19.8263575 48.2700091
"15" "7" "Gymnázium - Gimnázium" "Nám. padlých hrdinov 2" "Fiľakovo" "LC" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "M " 26 20 21 29 0 0 0 0 96 25 22 0 29 19.8263575 48.2700091
"16" "7" "Gymnázium - Gimnázium" "Nám. padlých hrdinov 2" "Fiľakovo" "LC" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "M " 10 0 9 17 0 0 0 0 36 10 0 0 0 19.8263575 48.2700091
